9493 Saltum
9500 Hobro
9510 Arden
9520 Skørping
9530 Støvring
9541 Suldrup
9550 Mariager
9560 Hadsund
9574 Bælum
9575 Terndrup
9600 Aars
9610 Nørager
9620 Aalestrup
9631 Gedsted
9632 Møldrup
9640 Farsø
9670 Løgstør
9681 Ranum
9690 Fjerritslev
9700 Brønderslev
9740 Jerslev J
9750 Østervrå
9760 Vrå
9800 Hjørring
9830 Tårs
9850 Hirtshals
9870 Sindal
9881 Bindslev
9900 Frederikshavn
9940 Læsø
9970 Strandby
9981 Jerup
9982 Ålbæk
9990 Skagen
9992 Jylland USF P
9993 Jylland USF B
9996 Fakturaservice
9997 Fakturascanning
9998 Borgerservice
2412 Santa Claus/Julemanden
3900 Nuuk
3905 Nuussuaq
3910 Kangerlussuaq
3911 Sisimiut
3912 Maniitsoq
3913 Tasiilaq
3915 Kulusuk
3919 Alluitsup Paa
3920 Qaqortoq
3921 Narsaq
3922 Nanortalik
3923 Narsarsuaq
3924 Ikerasassuaq
3930 Kangilinnguit
3932 Arsuk
3940 Paamiut
3950 Aasiaat
3951 Qasigiannguit
3952 Ilulissat
3953 Qeqertarsuaq
3955 Kangaatsiaq
3961 Uummannaq
3962 Upernavik
3964 Qaarsut
3970 Pituffik
3971 Qaanaaq
3972 Station Nord
3980 Ittoqqortoormiit
3982 Mestersvig
3984 Danmarkshavn
3985 Constable Pynt
3992 Slædepatrulje Sirius
100 Tórshavn
110 Tórshavn 
160 Argir
165 Argir 
175 Kirkjubøur
176 Velbastadur
177 Sydradalur, Streymoy
178 Nordradalur
180 Kaldbak
185 Kaldbaksbotnur
186 Sund
187 Hvitanes
188 Hoyvík
210 Sandur
215 Sandur
220 Skálavík
230 Húsavík
235 Dalur
236 Skarvanes
240 Skopun
260 Skúvoy
270 Nólsoy
280 Hestur
285 Koltur
286 Stóra Dimun
330 Stykkid
335 Leynar
336 Skællingur
340 Kvívík
350 Vestmanna
355 Vestmanna
358 Válur
360 Sandavágur
370 Midvágur
375 Midvágur
380 Sørvágur
385 Vatnsoyrar
386 Bøur
387 Gásadalur
388 Mykines
400 Oyrarbakki
405 Oyrarbakki
410 Kollafjørdur
415 Oyrareingir
416 Signabøur
420 Hósvík
430 Hvalvík
435 Streymnes
436 Saksun
437 Nesvík
438 Langasandur
440 Haldarsvík
445 Tjørnuvík
450 Oyri
460 Nordskáli
465 Svináir
466 Ljósá
470 Eidi
475 Funningur
476 Gjógv
477 Funningsfjørdur
478 Elduvík
480 Skáli
485 Skálafjørdur
490 Strendur
494 Innan Glyvur
495 Kolbanargjógv
496 Morskranes
497 Selatrad
510 Gøta
511 Gøtugjógv
512 Nordragøta
513 Sydrugøta
515 Gøta
520 Leirvík
530 Fuglafjørdur
535 Fuglafjørdur
600 Saltangará
610 Saltangará
620 Runavík
625 Glyvrar
626 Lambareidi
627 Lambi
640 Rituvík
645 Æduvík
650 Toftir
655 Nes, Eysturoy
656 Saltnes
660 Søldarfjørdur
665 Skipanes
666 Gøtueidi
690 Oyndarfjørdur
695 Hellur
700 Klaksvík
710 Klaksvík
725 Nordoyri
726 Ánir
727 Árnafjørdur
730 Norddepil
735 Depil
736 Nordtoftir
737 Múli
740 Hvannasund
750 Vidareidi
765 Svinoy
766 Kirkja
767 Hattarvík
780 Kunoy
785 Haraldssund
795 Sydradalur, Kalsoy
796 Húsar
797 Mikladalur
798 Trøllanes
800 Tvøroyri
810 Tvøroyri
825 Frodba
826 Trongisvágur
827 Øravík
850 Hvalba
860 Sandvík
870 Fámjin
900 Vágur
910 Vágur
925 Nes, Vágur
926 Lopra
927 Akrar
928 Vikarbyrgi
950 Porkeri
960 Hov
970 Sumba
18600 Vallentuna Stockholm AB Vallentuna 0115   59.5344 18.0776 4
18601 Vallentuna Stockholm AB Vallentuna 0115   59.5344 18.0776 4
18603 Brottby Stockholm AB Vallentuna 0115   59.5632 18.2403 4
18621 Vallentuna Stockholm AB Vallentuna 0115   59.5344 18.0776 4
18622 Vallentuna Stockholm AB Vallentuna 0115   59.5344 18.0776 4
18623 Vallentuna Stockholm AB Vallentuna 0115   59.5344 18.0776 4
18624 Vallentuna Stockholm AB Vallentuna 0115   59.5344 18.0776 4
18625 Vallentuna Stockholm AB Vallentuna 0115   59.5344 18.0776 4
18626 Vallentuna Stockholm AB Vallentuna 0115   59.5344 18.0776 4
18630 Vallentuna Stockholm AB Vallentuna 0115   59.5344 18.0776 4
18631 Vallentuna Stockholm AB Vallentuna 0115   59.5344 18.0776 4
18632 Vallentuna Stockholm AB Vallentuna 0115   59.5344 18.0776 4
18633 Vallentuna Stockholm AB Vallentuna 0115   59.5344 18.0776 4
18634 Vallentuna Stockholm AB Vallentuna 0115   59.5344 18.0776 4
18635 Vallentuna Stockholm AB Vallentuna 0115   59.5344 18.0776 4
18636 Vallentuna Stockholm AB Vallentuna 0115   59.5344 18.0776 4
18637 Vallentuna Stockholm AB Vallentuna 0115   59.5344 18.0776 4
18638 Vallentuna Stockholm AB Vallentuna 0115   59.5344 18.0776 4
18639 Vallentuna Stockholm AB Vallentuna 0115   59.5344 18.0776 4
18640 Vallentuna Stockholm AB Vallentuna 0115   59.5344 18.0776 4
18641 Vallentuna Stockholm AB Vallentuna 0115   59.5344 18.0776 4
18642 Vallentuna Stockholm AB Vallentuna 0115   59.5344 18.0776 4
18643 Vallentuna Stockholm AB Vallentuna 0115   59.5344 18.0776 4
18644 Vallentuna Stockholm AB Vallentuna 0115   59.5344 18.0776 4
18645 Vallentuna Stockholm AB Vallentuna 0115   59.5344 18.0776 4
18646 Vallentuna Stockholm AB Vallentuna 0115   59.5344 18.0776 4
18649 Vallentuna Stockholm AB Vallentuna 0115   59.5344 18.0776 4
18650 Vallentuna Stockholm AB Vallentuna 0115   59.5344 18.0776 4
18651 Vallentuna Stockholm AB Vallentuna 0115   59.5344 18.0776 4
18652 Vallentuna Stockholm AB Vallentuna 0115   59.5344 18.0776 4
18653 Vallentuna Stockholm AB Vallentuna 0115   59.5344 18.0776 4
18654 Vallentuna Stockholm AB Vallentuna 0115   59.5344 18.0776 4
18655 Vallentuna Stockholm AB Vallentuna 0115   59.5344 18.0776 4
18660 Vallentuna Stockholm AB Vallentuna 0115   59.5344 18.0776 4
18670 Brottby Stockholm AB Vallentuna 0115   59.5632 18.2403 4
18686 Vallentuna Stockholm AB Vallentuna 0115   59.5344 18.0776 4
18691 Vallentuna Stockholm AB Vallentuna 0115   59.5344 18.0776 4
18692 Vallentuna Stockholm AB Vallentuna 0115   59.5344 18.0776 4
18693 Vallentuna Stockholm AB Vallentuna 0115   59.5344 18.0776 4
18694 Vallentuna Stockholm AB Vallentuna 0115   59.5344 18.0776 4
18695 Vallentuna Stockholm AB Vallentuna 0115   59.5344 18.0776 4
18696 Vallentuna Stockholm AB Vallentuna 0115   59.5344 18.0776 4
18697 Brottby Stockholm AB Vallentuna 0115   59.5632 18.2403 4
13025 Ingmarsö Stockholm AB Österåker 0117   59.4675 18.7494 4
18400 Åkersberga Stockholm AB Österåker 0117   59.4794 18.2997 4
18403 Ljusterö Stockholm AB Österåker 0117   59.5275 18.6211 4
18410 Åkersberga Stockholm AB Österåker 0117   59.4794 18.2997 4
18421 Åkersberga Stockholm AB Österåker 0117   59.4794 18.2997 4
18422 Åkersberga Stockholm AB Österåker 0117   59.4794 18.2997 4
18423 Åkersberga Stockholm AB Österåker 0117   59.4794 18.2997 4
18424 Åkersberga Stockholm AB Österåker 0117   59.4794 18.2997 4
18425 Åkersberga Stockholm AB Österåker 0117   59.4794 18.2997 4
18426 Åkersberga Stockholm AB Österåker 0117   59.4794 18.2997 4
18427 Åkersberga Stockholm AB Österåker 0117   59.4794 18.2997 4
18428 Åkersberga Stockholm AB Österåker 0117   59.4794 18.2997 4
18430 Åkersberga Stockholm AB Österåker 0117   59.4794 18.2997 4
